log,2834,840,1994,0.296400847
MethodInvocation,11630,3067,8563,0.263714531
WhileStatement,378,172,206,0.455026455
CatchClause,1587,596,991,0.375551355
Elseif,591,212,379,0.358714044
IfStatement,5156,1752,3404,0.339798293
print,278,72,206,0.258992806
TryStatement,1148,432,716,0.37630662
assert,638,205,433,0.321316614
VariableDeclarationStatement,5353,1690,3663,0.315710816
EnhancedForStatement,453,121,332,0.267108168
ThrowStatement,1018,360,658,0.353634578
ForStatement,366,147,219,0.401639344
,,,,0.33722419
