3,fUpdateButton fUpdateButton fUpdateButton fUpdateButton 
9,fTarget fTarget fTarget fTarget fTarget fTarget 
51,fFigures fFigures fFigures fFigures 
81,undoStack undoStack 
84,undoStack undoStack 
153,fIcon fTool 
1746,radials radials radials radials angulars true saturations saturations saturations saturations hues 
1848,svgPanel svgPanel svgPanel 
2187,translate translate 
2190,translation translation translate translate 
2247,innerWidth innerWidth 
2637,parseBtn parseBtn parseBtn parseBtn parseBtn parseBtn parse parse parse parse parse parse 
2685,keystrokeTimer keystrokeTimer caretTimer caretTimer caretTimer caretTimer caretTimer caretTimer timer timer timer timer timer 
2691,bufferHandler documentHandler 
2877,+ + 
3042,copt copt copt copt 
3048,systemShell shell 
3237,prefix prefix 
3285,logType type 
3351,ignoreUpdates ignoreOpen ignoreOpen 
3366,replace replace replace replace replace replace 
3426,showSettings showSettings showSettings showReplace showReplace showReplace showExtendedOptions showExtendedOptions showExtendedOptions showSettings showReplace showExtendedOptions showSettings showSettings showSettings showReplace showReplace showReplace showExtendedOptions showExtendedOptions showExtendedOptions showSettings showReplace showExtendedOptions 
3456,searchSettingsPanel searchSettingsPanel searchSettingsPanel searchSettingsPanel searchSettingsPanel searchSettingsPanel 
3486,viewer currentURL currentURL viewer viewer viewer currentURL currentURL viewer viewer viewer currentURL viewer 
3720,buttons dockablePanel buttons buttons buttons buttons buttons dockablePanel dockablePanel 
3723,dockablePanel 
4017,highlights highlights 
4485,cachedIsSelected cachedIsSelected 
5037,<< << 
5043,dockables buttons dockables 
5205,int int 
5352,structureHighlight structureHighlightColor bracketHighlight bracketHighlightColor 
5385,definedDimensions definedDimensions definedDimensions dimensions dimensions dimensions 
5577,paramNames paramNames paramNames paramNames argTypes argTypes argNames argNames argTypes argNames argNames 
5670,int int 
5916,m_pp pp 
6069,isHiddenMethod isHiddenMethod method method 
6093,buttons dockablePanel buttons buttons buttons buttons buttons dockablePanel dockablePanel 
6096,dockablePanel 
6156,foldHandler foldHandler 
7047,skip skip 
7446,int int 
7449,buttonPanel buttonPanel buttons buttons buttons buttons 
7608,int int 
7788,definedDimensions definedDimensions dimensions dimensions dimensions 
7983,paramsNode paramsNode paramsNode returnType params params params returnType 
8055,propMgr 
8310,m_pp pp 
8472,bufferListLock bufferListLock 
8502,markers markers markers markers 
8544,textArea textArea textArea textArea textArea textArea textArea textArea textArea textArea textArea textArea textArea textArea textArea textArea 
8556,plugin plugin plugin plugin plugin plugin 
8583,image win fm image fm fm fm image fm image win fm image fm fm 
8643,what pluginName what pluginName 
8649,log log log log 
8652,stage stage 
8679,hgap distanceToBorders distanceToBorders vgap distanceToBorders distanceToBorders hgap distanceToBorders distanceToBorders vgap distanceToBorders distanceToBorders 
8685,hgap hgap hgap hgap hgap hgap 
8784,m_pp m_pp m_pp m_pp 
8805,openOffset openOffset 
8814,isRemovable isRemovable temp temp temp temp 
9015,styleChoices styleChoices 
9033,showStack showStack 
9303,overrideModes modes overrideModes modes 
9384,viewer viewer title historyModel viewer viewer viewerScrollPane historyModel toc viewer viewer viewer title historyModel viewer viewer viewerScrollPane historyModel toc viewer 
9552,filepathRE filepathRE filepathRE filepathRE filepathRE filepathRE filepathMatcher filepathMatcher filepathRE filepathRE filepathRE filepathRE filepathRE filepathRE filepathRE filepathRE filepathRE filepathRE 
13599,logsession logsession logsession logsession logsession logsession logsession logsession logsession logsession logsession logsession logsession logsession logsession logsession 
14763,signhome signhome 
15162,log log log log log log log log log log log log log log log log log log log log log log log log log log log log log log 
15321,httpReqPath httpReqPath 
15606,m_log m_log m_log 
15930,signsession signsession usersession usersession casession casession rasession rasession storesession storesession rasession storesession casession signsession signsession usersession usersession casession casession rasession rasession storesession storesession rasession storesession casession 
16113,rsakeys keys 
16119,rsacaid rsakeys caid keys 
16125,rsakeys keys 
16311,int int 
