log,1738,615,1123,0.353855006
MethodInvocation,7244,1944,5300,0.268360022
WhileStatement,387,173,214,0.447028424
CatchClause,1191,472,719,0.396305626
Elseif,319,153,166,0.479623824
IfStatement,2883,1071,1812,0.371488033
print,205,43,162,0.209756098
TryStatement,722,330,392,0.457063712
assert,404,104,300,0.257425743
VariableDeclarationStatement,3706,1192,2514,0.321640583
EnhancedForStatement,121,55,66,0.454545455
ThrowStatement,729,290,439,0.397805213
ForStatement,358,118,240,0.329608939
,,,,0.364962052
